Index,Value,Peak Type
393,198.442220,
394,185.106160,
395,171.973202,
396,159.143026,
397,146.776586,
398,134.025429,
399,121.469189,
400,115.082412,
401,102.623561,
402,90.702003,
403,79.450231,
404,68.989014,
405,59.425469,
406,50.851128,
407,43.340010,
408,36.946684,
409,31.704344,
410,27.622874,
411,24.686917,
412,22.853948,
413,22.052338,Minima
414,22.179423,
415,23.099578,
416,24.642282,
417,26.600184,
418,28.727180,
419,30.736473,
420,32.298648,
421,33.039741,Maxima
422,32.539301,
423,30.328467,
424,25.888033,
